"population_id","year","abundance","Trend","geometry"
1162,1996,"512","Decreasing",c(7.46056, 46.97778)
1162,1997,"461","Decreasing",c(7.46056, 46.97778)
1172,1974,"893","Increasing",c(13.83417, 48.76972)
1172,1975,"971","Increasing",c(13.83417, 48.76972)
1172,1976,"1175","Increasing",c(13.83417, 48.76972)
1172,1977,"1575","Increasing",c(13.83417, 48.76972)
1172,1978,"717","Increasing",c(13.83417, 48.76972)
1172,1979,"352","Increasing",c(13.83417, 48.76972)
1172,1980,"500","Increasing",c(13.83417, 48.76972)
1172,1981,"662","Increasing",c(13.83417, 48.76972)
1172,1982,"357","Increasing",c(13.83417, 48.76972)
1172,1983,"505","Increasing",c(13.83417, 48.76972)
1172,1984,"499","Increasing",c(13.83417, 48.76972)
1172,1985,"288","Increasing",c(13.83417, 48.76972)
1172,1986,"431","Increasing",c(13.83417, 48.76972)
1172,1987,"369","Increasing",c(13.83417, 48.76972)
1172,1988,"541","Increasing",c(13.83417, 48.76972)
1172,1989,"583","Increasing",c(13.83417, 48.76972)
1172,1990,"755","Increasing",c(13.83417, 48.76972)
1172,1991,"867","Increasing",c(13.83417, 48.76972)
1172,1992,"892","Increasing",c(13.83417, 48.76972)
1172,1993,"557","Increasing",c(13.83417, 48.76972)
1172,1994,"666","Increasing",c(13.83417, 48.76972)
1172,1995,"699","Increasing",c(13.83417, 48.76972)
1172,1996,"1935","Increasing",c(13.83417, 48.76972)
1172,1997,"890","Increasing",c(13.83417, 48.76972)
1172,1998,"1391","Increasing",c(13.83417, 48.76972)
1172,1999,"1041","Increasing",c(13.83417, 48.76972)
1172,2000,"954","Increasing",c(13.83417, 48.76972)
1172,2001,"1536","Increasing",c(13.83417, 48.76972)
1172,2002,"2104","Increasing",c(13.83417, 48.76972)
1176,1974,"563","Increasing",c(13.83417, 48.76972)
1176,1975,"2151","Increasing",c(13.83417, 48.76972)
1176,1976,"1140","Increasing",c(13.83417, 48.76972)
1176,1977,"1158","Increasing",c(13.83417, 48.76972)
1176,1978,"1299","Increasing",c(13.83417, 48.76972)
1176,1979,"1172","Increasing",c(13.83417, 48.76972)
1176,1980,"1237","Increasing",c(13.83417, 48.76972)
1176,1981,"1161","Increasing",c(13.83417, 48.76972)
1176,1982,"1356","Increasing",c(13.83417, 48.76972)
1176,1983,"2152","Increasing",c(13.83417, 48.76972)
1176,1984,"1631","Increasing",c(13.83417, 48.76972)
1176,1985,"848","Increasing",c(13.83417, 48.76972)
1176,1986,"2225","Increasing",c(13.83417, 48.76972)
1176,1987,"1466","Increasing",c(13.83417, 48.76972)
1176,1988,"1579","Increasing",c(13.83417, 48.76972)
1176,1989,"1522","Increasing",c(13.83417, 48.76972)
1176,1990,"1963","Increasing",c(13.83417, 48.76972)
1176,1991,"1683","Increasing",c(13.83417, 48.76972)
1176,1992,"1614","Increasing",c(13.83417, 48.76972)
1176,1993,"959","Increasing",c(13.83417, 48.76972)
1176,1994,"1303","Increasing",c(13.83417, 48.76972)
1176,1995,"1253","Increasing",c(13.83417, 48.76972)
1176,1996,"1933","Increasing",c(13.83417, 48.76972)
1176,1997,"2207","Increasing",c(13.83417, 48.76972)
1176,1998,"1419","Increasing",c(13.83417, 48.76972)
1176,1999,"1704","Increasing",c(13.83417, 48.76972)
1176,2000,"1428","Increasing",c(13.83417, 48.76972)
1176,2001,"1648","Increasing",c(13.83417, 48.76972)
1176,2002,"1204","Increasing",c(13.83417, 48.76972)
1300,1993,"374678","Increasing",c(5.97639, 39.82278)
1300,1994,"451969","Increasing",c(5.97639, 39.82278)
1300,1995,"437681","Increasing",c(5.97639, 39.82278)
1300,1996,"362156","Increasing",c(5.97639, 39.82278)
1300,1997,"401193","Increasing",c(5.97639, 39.82278)
1300,1998,"403029","Increasing",c(5.97639, 39.82278)
1300,1999,"512945","Increasing",c(5.97639, 39.82278)
1300,2000,"520438","Increasing",c(5.97639, 39.82278)
1300,2001,"487690","Increasing",c(5.97639, 39.82278)
1300,2002,"498643","Increasing",c(5.97639, 39.82278)
1626,1988,"18","Increasing",c(9.00389, 53.87083)
1626,1989,"11","Increasing",c(9.00389, 53.87083)
1626,1990,"35","Increasing",c(9.00389, 53.87083)
1626,1991,"93","Increasing",c(9.00389, 53.87083)
1626,1992,"35","Increasing",c(9.00389, 53.87083)
1626,1993,"100","Increasing",c(9.00389, 53.87083)
1626,1994,"35","Increasing",c(9.00389, 53.87083)
1626,1995,"21","Increasing",c(9.00389, 53.87083)
1626,1996,"43","Increasing",c(9.00389, 53.87083)
1626,1997,"21","Increasing",c(9.00389, 53.87083)
1626,1998,"50","Increasing",c(9.00389, 53.87083)
1626,1999,"57","Increasing",c(9.00389, 53.87083)
1707,1991,"5800","Decreasing",c(11.74972, 54.14139)
1707,1992,"6800","Decreasing",c(11.74972, 54.14139)
1707,1993,"6500","Decreasing",c(11.74972, 54.14139)
1707,1994,"6300","Decreasing",c(11.74972, 54.14139)
1707,1995,"7500","Decreasing",c(11.74972, 54.14139)
1707,1996,"7400","Decreasing",c(11.74972, 54.14139)
1707,1997,"6800","Decreasing",c(11.74972, 54.14139)
1707,1998,"5000","Decreasing",c(11.74972, 54.14139)
1707,1999,"4500","Decreasing",c(11.74972, 54.14139)
1707,2000,"4700","Decreasing",c(11.74972, 54.14139)
1723,1975,"63","Decreasing",c(17.2775, 61.67583)
1723,1976,"85","Decreasing",c(17.2775, 61.67583)
1723,1977,"104","Decreasing",c(17.2775, 61.67583)
1723,1978,"93","Decreasing",c(17.2775, 61.67583)
1723,1979,"105","Decreasing",c(17.2775, 61.67583)
1723,1980,"115","Decreasing",c(17.2775, 61.67583)
1723,1981,"126","Decreasing",c(17.2775, 61.67583)
1723,1982,"109","Decreasing",c(17.2775, 61.67583)
1723,1983,"132","Decreasing",c(17.2775, 61.67583)
1723,1984,"78","Decreasing",c(17.2775, 61.67583)
1723,1985,"86","Decreasing",c(17.2775, 61.67583)
1723,1986,"77","Decreasing",c(17.2775, 61.67583)
1723,1987,"70","Decreasing",c(17.2775, 61.67583)
1723,1988,"57","Decreasing",c(17.2775, 61.67583)
1723,1989,"66","Decreasing",c(17.2775, 61.67583)
1723,1990,"67","Decreasing",c(17.2775, 61.67583)
1723,1991,"70","Decreasing",c(17.2775, 61.67583)
1723,1992,"53","Decreasing",c(17.2775, 61.67583)
1723,1993,"72","Decreasing",c(17.2775, 61.67583)
1723,1994,"60","Decreasing",c(17.2775, 61.67583)
1723,1995,"59","Decreasing",c(17.2775, 61.67583)
1723,1996,"57","Decreasing",c(17.2775, 61.67583)
1723,1997,"51","Decreasing",c(17.2775, 61.67583)
1723,1998,"53","Decreasing",c(17.2775, 61.67583)
1769,1986,"100","Decreasing",c(-2.81528, 56.19389)
1769,1987,"130","Decreasing",c(-2.81528, 56.19389)
1769,1988,"100","Decreasing",c(-2.81528, 56.19389)
1769,1989,"125","Decreasing",c(-2.81528, 56.19389)
1769,1990,"120","Decreasing",c(-2.81528, 56.19389)
1769,1991,"130","Decreasing",c(-2.81528, 56.19389)
1769,1992,"135","Decreasing",c(-2.81528, 56.19389)
